Location,Sentiments
uttar pradesh,0
rajasthan,0
karnataka,1
uttar pradesh,0
uttar pradesh,1
tamil nadu,1
gujarat,0
uttar pradesh,0
gujarat,-1
gujarat,0
jharkhand,1
uttar pradesh,0
uttar pradesh,0
uttar pradesh,0
assam,0
karnataka,0
assam,1
madhya pradesh,0
himachal pradesh,0
tamil nadu,0
chandigarh,-1
goa,1
maharashtra,0
uttar pradesh,1
chandigarh,-1
tamil nadu,-1
punjab,-1
delhi,1
delhi,-1
uttar pradesh,-1
uttar pradesh,-1
bihar,1
west bengal,0
himachal pradesh,1
rajasthan,0
delhi,1
rajasthan,-1
maharashtra,0
madhya pradesh,1
karnataka,0
maharashtra,0
chhattisgarh,1
gujarat,0
goa,-1
gujarat,0
madhya pradesh,1
tamil nadu,1
chandigarh,0
west bengal,-1
chandigarh,1
tamil nadu,1
chandigarh,-1
karnataka,-1
chhattisgarh,1
jammu and kashmir,1
kerala,0
tamil nadu,0
maharashtra,0
uttarakhand,1
gujarat,1
uttar pradesh,1
delhi,1
uttarakhand,-1
uttar pradesh,1
haryana,0
uttar pradesh,0
rajasthan,0
tamil nadu,0
bihar,-1
tamil nadu,1
assam,1
chandigarh,0
chhattisgarh,1
gujarat,0
tamil nadu,1
uttar pradesh,0
uttar pradesh,-1
chandigarh,-1
delhi,-1
uttar pradesh,0
maharashtra,1
goa,0
goa,1
gujarat,1
karnataka,-1
bihar,1
gujarat,0
bihar,1
bihar,1
tamil nadu,-1
haryana,1
bihar,1
bihar,0
maharashtra,1
haryana,-1
gujarat,-1
goa,1
andhra pradesh,0
uttarakhand,0
delhi,-1
tamil nadu,1
maharashtra,0
maharashtra,0
jammu and kashmir,0
maharashtra,0
bihar,1
bihar,1
west bengal,1
delhi,1
chandigarh,1
delhi,-1
maharashtra,-1
kerala,-1
jharkhand,1
chandigarh,1
uttar pradesh,1
karnataka,1
delhi,0
delhi,0
gujarat,0
uttar pradesh,1
goa,1
rajasthan,1
tamil nadu,1
delhi,1
tamil nadu,0
delhi,1
haryana,1
haryana,-1
bihar,0
haryana,0
delhi,0
haryana,1
maharashtra,0
maharashtra,0
bihar,1
tamil nadu,-1
gujarat,1
gujarat,1
punjab,1
delhi,0
delhi,1
delhi,1
himachal pradesh,1
assam,1
punjab,1
maharashtra,1
delhi,-1
delhi,0
uttar pradesh,1
delhi,1
gujarat,-1
uttar pradesh,-1
gujarat,1
karnataka,-1
tamil nadu,-1
karnataka,1
uttarakhand,1
gujarat,0
delhi,1
maharashtra,1
assam,0
maharashtra,1
chhattisgarh,-1
rajasthan,1
delhi,-1
chandigarh,1
uttarakhand,1
karnataka,0
assam,0
tamil nadu,-1
uttar pradesh,1
rajasthan,0
assam,1
delhi,1
maharashtra,0
gujarat,0
delhi,0
delhi,0
haryana,0
chandigarh,-1
delhi,-1
kerala,0
delhi,1
delhi,1
chhattisgarh,1
delhi,-1
rajasthan,0
rajasthan,0
rajasthan,1
goa,0
delhi,0
rajasthan,0
chandigarh,1
delhi,1
chhattisgarh,1
gujarat,-1
west bengal,0
delhi,1
delhi,1
jharkhand,-1
chandigarh,1
goa,-1
andhra pradesh,0
punjab,0
bihar,0
jharkhand,1
west bengal,0
haryana,0
rajasthan,1
goa,-1
uttarakhand,1
chandigarh,1
uttarakhand,1
west bengal,1
assam,-1
maharashtra,1
west bengal,0
maharashtra,0
bihar,0
delhi,1
rajasthan,1
chandigarh,-1
west bengal,1
nagaland,0
gujarat,1
uttar pradesh,-1
gujarat,1
delhi,0
chandigarh,1
kerala,-1
delhi,1
haryana,0
odisha,0
tamil nadu,1
haryana,1
maharashtra,0
odisha,-1
delhi,1
chandigarh,0
maharashtra,1
west bengal,-1
uttar pradesh,-1
gujarat,1
delhi,-1
chandigarh,1
chandigarh,0
gujarat,0
maharashtra,0
west bengal,-1
delhi,-1
tamil nadu,-1
rajasthan,1
delhi,0
maharashtra,-1
rajasthan,1
west bengal,1
maharashtra,-1
tamil nadu,1
chandigarh,1
uttar pradesh,-1
maharashtra,0
uttar pradesh,0
chandigarh,1
gujarat,0
tamil nadu,1
uttarakhand,1
uttar pradesh,1
maharashtra,0
uttar pradesh,1
gujarat,0
delhi,1
tamil nadu,0
delhi,-1
gujarat,-1
himachal pradesh,-1
tamil nadu,1
uttarakhand,0
tamil nadu,1
tamil nadu,1
goa,0
maharashtra,0
west bengal,-1
maharashtra,1
chandigarh,0
madhya pradesh,1
madhya pradesh,0
tamil nadu,1
bihar,0
maharashtra,1
maharashtra,0
delhi,0
delhi,0
delhi,1
delhi,1
madhya pradesh,0
tamil nadu,1
rajasthan,1
karnataka,0
tamil nadu,-1
delhi,1
chandigarh,0
delhi,-1
maharashtra,0
chandigarh,-1
uttar pradesh,1
delhi,1
delhi,1
kerala,-1
maharashtra,1
uttar pradesh,0
delhi,1
karnataka,0
uttar pradesh,-1
karnataka,-1
maharashtra,1
maharashtra,1
delhi,0
karnataka,-1
karnataka,0
rajasthan,1
maharashtra,1
delhi,-1
gujarat,-1
haryana,0
maharashtra,1
rajasthan,0
delhi,0
chhattisgarh,-1
gujarat,1
goa,0
goa,0
goa,1
uttar pradesh,0
gujarat,0
gujarat,1
goa,0
gujarat,1
karnataka,1
uttar pradesh,1
chandigarh,-1
delhi,1
karnataka,-1
delhi,0
maharashtra,-1
rajasthan,0
haryana,1
jammu and kashmir,0
karnataka,1
maharashtra,0
himachal pradesh,1
goa,1
tamil nadu,0
uttar pradesh,0
uttar pradesh,1
gujarat,1
gujarat,0
delhi,-1
chandigarh,0
gujarat,0
uttar pradesh,-1
maharashtra,1
tamil nadu,0
punjab,1
gujarat,1
bihar,-1
madhya pradesh,-1
rajasthan,0
delhi,0
maharashtra,0
uttar pradesh,-1
kerala,0
gujarat,-1
west bengal,1
delhi,1
karnataka,0
uttar pradesh,1
gujarat,0
rajasthan,1
uttar pradesh,1
chhattisgarh,0
gujarat,1
uttar pradesh,1
haryana,0
madhya pradesh,0
delhi,-1
tamil nadu,0
odisha,-1
nagaland,1
maharashtra,-1
uttar pradesh,1
chandigarh,1
maharashtra,-1
karnataka,0
delhi,1
uttar pradesh,-1
gujarat,1
goa,-1
bihar,0
karnataka,1
tamil nadu,0
punjab,1
odisha,0
uttar pradesh,0
chandigarh,1
odisha,0
rajasthan,0
uttarakhand,0
tamil nadu,0
kerala,-1
odisha,0
tamil nadu,1
kerala,-1
chandigarh,1
maharashtra,-1
madhya pradesh,1
delhi,0
west bengal,0
delhi,-1
assam,0
kerala,-1
gujarat,1
madhya pradesh,0
bihar,0
delhi,1
andhra pradesh,0
delhi,0
andhra pradesh,0
madhya pradesh,0
karnataka,1
delhi,1
uttarakhand,0
uttar pradesh,0
bihar,0
west bengal,1
tamil nadu,1
kerala,1
bihar,-1
chandigarh,-1
delhi,1
gujarat,1
uttar pradesh,-1
maharashtra,0
uttar pradesh,0
odisha,-1
gujarat,-1
himachal pradesh,-1
punjab,1
madhya pradesh,0
bihar,1
chhattisgarh,-1
chandigarh,-1
haryana,0
andhra pradesh,-1
chandigarh,-1
delhi,0
uttar pradesh,-1
delhi,1
punjab,1
punjab,1
delhi,1
madhya pradesh,1
gujarat,-1
delhi,1
chandigarh,1
delhi,1
rajasthan,0
andhra pradesh,1
goa,1
kerala,1
uttar pradesh,0
delhi,0
maharashtra,1
punjab,1
uttar pradesh,1
bihar,0
bihar,0
goa,0
assam,1
bihar,-1
goa,1
bihar,-1
tamil nadu,-1
haryana,1
haryana,0
punjab,0
maharashtra,0
delhi,-1
uttar pradesh,0
